s/n ,State,Year,Population,Totalcrime_count,Totalcrime_loss,Bec_count,Bec_loss,Romance_counts,Romance_loss,Creditcard_count,Creditcard_loss,Databreach_count,Databreach_loss,GovtImp_count,GovtImp_loss,Age<20_count,Age<20_loss,Age<29_count,Age<29_loss,Age<39_count,Age<39_loss,Age<49_count,Age<49_loss,Age<59_count,Age<59_loss,Age>60_count,Age>60_loss
14,Illinois,2020,"12,812,508 ","20,837 ","$170,573,000.00",735,"$88,804,328.00",688,"$14,036,350.00",523,"$1,970,644.00","1,364","$2,863,524.00",359,"$4,671,977.00",498,"$1,587,472.00","1,907","$5,003,523.00","2,325","$21,521,791.00","3,038","$11,534,810.00","3,993","$42,513,018.00","4,227","$32,143,412.00"
15,Indiana,2020,"6,785,528 ","13,035 ","$41,149,000.00",196,"$793,505.00",332,"$4,180,026.00",227,"$1,320,748.00",842,"$562,666.00",159,"$877,601.00",255,"$247,117.00",861,"$1,046,598.00","5,034","$2,283,890.00","2,183","$8,624,837.00","1,197","$5,006,041.00","1,519","$10,049,923.00"
16,Iowa,2020,"3,119,369 ","9,490 ","$25,964,000.00",154,"$8,681,056.00",145,"$3,281,307.00",80,"$342,856.00",238,"$260,023.00",49,"$36,378.00",125,"$101,722.00","6,954","$399,921.00",406,"$765,069.00",397,"$2,248,157.00",373,"$4,578,237.00",570,"$4,085,790.00"
17,Kansas,2020,"2,937,880 ","3,687 ","$25,534,000.00",127,"$8,030,047.00",136,"$2,186,463.00",107,"$669,742.00",290,"$555,422.00",116,"$357,733.00",107,"$231,401.00",352,"$894,871.00",487,"$1,564,530.00",526,"$4,565,165.00",546,"$1,832,761.00",728,"$7,314,673.00"
18,Kentucky,2020,"4,505,836 ","7,008 ","$13,870,000.00",104,"$3,209,703.00",174,"$2,471,145.00",171,"$252,412.00",414,"$185,981.00",110,"$110,417.00",184,"$358,624.00",511,"$517,207.00",697,"$2,330,048.00",744,"$1,890,945.00",600,"$2,688,821.00",782,"$4,056,091.00"
19,Louisiana,2020,"4,657,757 ","5,192 ","$30,034,000.00",141,"$7,575,148.00",228,"$7,221,414.00",167,"$718,395.00",531,"$1,803,058.00",140,"$422,447.00",118,"$1,551,333.00",557,"$700,276.00",836,"$2,566,907.00",791,"$3,445,712.00",889,"$9,933,091.00",855,"$5,857,104.00"
20,Maine,2020,"1,362,359 ","1,758 ","$8,893,000.00",67,"$2,828,104.00",57,"$1,514,636.00",61,"$168,111.00",111,"$29,189.00",44,"$32,252.00",47,"$298,227.00",163,"$78,519.00",248,"$694,123.00",211,"$706,649.00",263,"$1,792,048.00",368,"$2,471,681.00"
21,Maryland,2020,"6,177,224 ","15,474 ","$72,794,698.00",104,"$5,817,545.00",158,"$10,808,495.00",103,"$841,538.00",289,"$410,045.00",93,"$2,435,341.00",323,"$1,375,630.00","1,104","$2,503,795.00","1,469","$5,051,590.00","1,458","$12,046,081.00","1,636","$13,336,496.00","2,067","$21,177,890.00"
22,Massachusetts,2020,"7,029,917 ","12,111 ","$117,546,771.00",58,"$3,016,700.00",125,"$4,476,198.00",93,"$559,884.00",251,"$513,743.00",24,"$453,060.00",323,"$1,264,341.00","1,281","$3,158,631.00","1,424","$9,875,689.00","1,748","$15,063,624.00","1,847","$17,842,528.00","2,309","$20,447,349.00"
23,Michigan,2020,"10,077,331 ","13,236 ","$91,180,501.00",492,"$36,366,450.00","572	","$28,616,190.00",414,"$2,202,504.00",999,"$2,071,384.00",303,"$1,395,174.00",420,"$1,735,615.00","1,375","$2,170,519.00","1,716","$25,805,061.00","1,815","$8,539,660.00","1,928","$14,257,507.00","2,499","$18,844,350.00"
24,Minnesota,2020,"5,076,494 ","7,302 ","$64,194,223.00",328,"$35,690,042.00",307,"$6,887,499.00",185,"$474,532.00",508,"$377,056.00",222,"$1,420,053.00",218,"$290,693.00",719,"$1,091,620.00",965,"$3,713,860.00","1,010","$5,449,514.00","1,063","$6,382,082.00","1,542","$15,730,641.00"
25,Mississippi,2020,"2,961,279 ","2,609 ","$19,469,541.00","57	","$2,868,799.00",135,"$1,906,816.00",84,"$182,492.00",262,"$199,509.00",58,"$48,970.00","67	","$32,378.00",293,"$511,468.00",437,"$2,052,477.00",452,"$1,748,084.00",332,"$824,656.00",461,"$2,213,731.00"
26,Missouri,2020,"6,154,913 ","8,998 ","$127,997,907.00",241,"$91,191,387.00",339,"$9,238,380.00",315,"$1,541,360.00",680,"$2,799,056.00",213,"$565,055.00",195,"$3,204,366.00",753,"$2,798,248.00","1,427","$3,726,182.00","1,171","$69,402,868.00","1,104","$8,250,519.00","1,578","$16,236,718.00"
27,Montana,2020,"1,084,225 ","1,451 ","$5,109,109.00",53,"$1,079,687.00",68,"$936,068.00",32,"$137,558.00",91,"$127,831.00",48,"$120,100.00",41,"$26,888.00",140,"$238,688.00",160,"$200,913.00",194,"$234,002.00",178,"$282,319.00",335,"$4,131,902.00"
